component,type,layer,head,mean_ie,std_ie,consistency,score,n_samples
L23H11,attn,23,11,0.000788741111755371,0.0032126686257492845,0.63,0.0004969069004058837,200
L11H10,attn,11,10,0.0008553218841552734,0.005600340391275161,0.58,0.0004960866928100585,200
L22H22,attn,22,22,0.0008826923370361329,0.009454949632280996,0.56,0.0004943077087402344,200
L18H15,attn,18,15,0.000879216194152832,0.005436657303201089,0.555,0.0004879649877548218,200
L15H04,attn,15,4,0.000869755744934082,0.006193775991835283,0.555,0.0004827144384384156,200
L31H08,attn,31,8,0.0008004903793334961,0.005745328325474897,0.6,0.00048029422760009766,200
L27H23,attn,27,23,0.0008297348022460937,0.004135902344260989,0.575,0.0004770975112915039,200
L40H17,attn,40,17,0.0008803796768188476,0.008325218330281771,0.54,0.00047540502548217776,200
L18H21,attn,18,21,0.0008698129653930665,0.005866956374288658,0.545,0.00047404806613922124,200
L46H06,attn,46,6,0.0008833599090576172,0.006387952340317047,0.535,0.0004725975513458252,200
L15H05,attn,15,5,0.000888986587524414,0.004600108502165859,0.53,0.00047116289138793944,200
L08H08,attn,8,8,0.000913839340209961,0.0036524284519966893,0.515,0.0004706272602081299,200
L07H13,attn,7,13,0.0008010673522949219,0.003155160835055303,0.585,0.00046862440109252926,200
L27H09,attn,27,9,0.0008372020721435547,0.006179349800736549,0.555,0.0004646471500396729,200
L35H14,attn,35,14,0.0008135080337524414,0.007939256030409961,0.57,0.00046369957923889153,200
L07H06,attn,7,6,0.0008871078491210938,0.004819979674907013,0.52,0.0004612960815429688,200
L13H23,attn,13,23,0.0008397197723388672,0.006419239534149238,0.535,0.00044925007820129396,200
L19H17,attn,19,17,0.0007642793655395508,0.004066320564611086,0.585,0.0004471034288406372,200
L06H19,attn,6,19,0.0007832622528076171,0.003203507395189006,0.565,0.00044254317283630364,200
L44H18,attn,44,18,0.0007551717758178711,0.00401688230048267,0.585,0.00044177548885345456,200
