component,type,layer,head,mean_ie,consistency,score
L16H10,attn,16,10,0.0018358230590820312,0.6,0.0011014938354492188
L02H02,attn,2,2,0.002196216583251953,0.5,0.0010981082916259766
L03H14,attn,3,14,0.0014635562896728516,0.75,0.0010976672172546388
L40H22,attn,40,22,0.0021603584289550783,0.5,0.0010801792144775391
L42H21,attn,42,21,0.00238947868347168,0.45,0.001075265407562256
L21H15,attn,21,15,0.0019480228424072266,0.55,0.0010714125633239748
L10H19,attn,10,19,0.0017817497253417968,0.6,0.0010690498352050781
L00H03,attn,0,3,0.001641225814819336,0.65,0.0010667967796325684
L21H20,attn,21,20,0.0023705482482910155,0.45,0.001066746711730957
L29H12,attn,29,12,0.0016324043273925782,0.65,0.0010610628128051758
L09H17,attn,9,17,0.0023354530334472657,0.45,0.0010509538650512696
L07H10,attn,7,10,0.0020522117614746095,0.5,0.0010261058807373047
L31H16,attn,31,16,0.0022756099700927735,0.45,0.0010240244865417482
L01H19,attn,1,19,0.0015587329864501954,0.65,0.001013176441192627
L16H18,attn,16,18,0.002026224136352539,0.5,0.0010131120681762696
L34H15,attn,34,15,0.0018387317657470703,0.55,0.0010113024711608887
L17H16,attn,17,16,0.0018245220184326173,0.55,0.0010034871101379395
L25H15,attn,25,15,0.001800203323364258,0.55,0.000990111827850342
L03H24,attn,3,24,0.0016324520111083984,0.6,0.000979471206665039
L37H16,attn,37,16,0.0017717838287353515,0.55,0.0009744811058044434
L09H22,attn,9,22,0.0017396926879882813,0.55,0.0009568309783935547
L24H18,attn,24,18,0.0019088268280029296,0.5,0.0009544134140014648
L44H20,attn,44,20,0.0014508724212646484,0.65,0.0009430670738220214
L28H09,attn,28,9,0.0014434814453125,0.65,0.0009382629394531249
L21H09,attn,21,9,0.0017055511474609376,0.55,0.0009380531311035157
L32H01,attn,32,1,0.0015454769134521484,0.6,0.000927286148071289
L20H11,attn,20,11,0.0015261650085449218,0.6,0.0009156990051269531
L18H04,attn,18,4,0.0020234107971191405,0.45,0.0009105348587036133
L00H24,attn,0,24,0.001297330856323242,0.7,0.0009081315994262694
L18H18,attn,18,18,0.001505565643310547,0.6,0.0009033393859863282
L41H16,attn,41,16,0.0012857437133789063,0.7,0.0009000205993652344
L41H10,attn,41,10,0.0011012554168701172,0.8,0.0008810043334960938
L05H13,attn,5,13,0.0013534069061279298,0.65,0.0008797144889831544
L07H24,attn,7,24,0.001592111587524414,0.55,0.0008756613731384278
L39H09,attn,39,9,0.0012473583221435547,0.7,0.0008731508255004882
L26H22,attn,26,22,0.001304769515991211,0.65,0.0008481001853942872
L30H02,attn,30,2,0.0015397071838378906,0.55,0.0008468389511108399
L21H03,attn,21,3,0.0016927719116210938,0.5,0.0008463859558105469
L11H09,attn,11,9,0.0015355587005615235,0.55,0.000844557285308838
L38H15,attn,38,15,0.0014034271240234374,0.6,0.0008420562744140624
L20H14,attn,20,14,0.0020976543426513674,0.4,0.000839061737060547
L34H06,attn,34,6,0.0013982295989990235,0.6,0.0008389377593994141
L27H08,attn,27,8,0.0012895584106445313,0.65,0.0008382129669189454
L44H09,attn,44,9,0.001281595230102539,0.65,0.0008330368995666503
L42H14,attn,42,14,0.0011895179748535156,0.7,0.0008326625823974608
L40H14,attn,40,14,0.0012720108032226562,0.65,0.0008268070220947266
L38H03,attn,38,3,0.0015027523040771484,0.55,0.0008265137672424317
L36H19,attn,36,19,0.0014969825744628907,0.55,0.00082334041595459
L22H10,attn,22,10,0.0013652801513671874,0.6,0.0008191680908203124
L38H17,attn,38,17,0.0014771461486816407,0.55,0.0008124303817749024
L00H18,attn,0,18,0.0011477470397949219,0.7,0.0008034229278564452
L23H22,attn,23,22,0.0011323928833007813,0.7,0.0007926750183105469
L35H04,attn,35,4,0.0012043476104736327,0.65,0.0007828259468078613
L20H03,attn,20,3,0.0011106967926025391,0.7,0.0007774877548217773
L19H11,attn,19,11,0.0011916637420654296,0.65,0.0007745814323425293
L36H08,attn,36,8,0.0014066696166992188,0.55,0.0007736682891845704
L29H04,attn,29,4,0.0019319534301757812,0.4,0.0007727813720703125
L35H22,attn,35,22,0.0010128021240234375,0.75,0.0007596015930175781
L07H17,attn,7,17,0.0013634681701660157,0.55,0.0007499074935913086
L39H12,attn,39,12,0.0010700702667236328,0.7,0.0007490491867065429
L43H11,attn,43,11,0.0012456417083740235,0.6,0.0007473850250244141
L13H19,attn,13,19,0.0013563156127929688,0.55,0.0007459735870361328
L46H17,attn,46,17,0.001059579849243164,0.7,0.0007417058944702147
L37H17,attn,37,17,0.0013484477996826172,0.55,0.0007416462898254396
L10H22,attn,10,22,0.0013483047485351562,0.55,0.000741567611694336
L03H13,attn,3,13,0.0014794826507568359,0.5,0.0007397413253784179
L02H09,attn,2,9,0.0011334896087646484,0.65,0.0007367682456970215
L07H13,attn,7,13,0.001471710205078125,0.5,0.0007358551025390625
L37H12,attn,37,12,0.0014692783355712891,0.5,0.0007346391677856446
L38H22,attn,38,22,0.0014488697052001953,0.5,0.0007244348526000977
L15H23,attn,15,23,0.0014424324035644531,0.5,0.0007212162017822266
L33H22,attn,33,22,0.0014359474182128907,0.5,0.0007179737091064453
L00H21,attn,0,21,0.0011023521423339845,0.65,0.0007165288925170899
L03H16,attn,3,16,0.0011013984680175782,0.65,0.0007159090042114258
L31H10,attn,31,10,0.0011876583099365234,0.6,0.000712594985961914
L45H01,attn,45,1,0.0014216899871826172,0.5,0.0007108449935913086
L01H04,attn,1,4,0.0011813640594482422,0.6,0.0007088184356689453
L38H02,attn,38,2,0.0011786460876464845,0.6,0.0007071876525878907
L23H24,attn,23,24,0.0012846946716308593,0.55,0.0007065820693969726
L28H04,attn,28,4,0.0009359359741210937,0.75,0.0007019519805908203
L26H16,attn,26,16,0.0017536640167236327,0.4,0.0007014656066894531
L11H22,attn,11,22,0.0014005661010742187,0.5,0.0007002830505371093
L39H24,attn,39,24,0.0012707233428955079,0.55,0.0006988978385925294
L21H14,attn,21,14,0.001261281967163086,0.55,0.0006937050819396973
L39H18,attn,39,18,0.0012522697448730468,0.55,0.0006887483596801758
L41H21,attn,41,21,0.0012315273284912109,0.55,0.0006773400306701661
L38H00,attn,38,0,0.0011095046997070313,0.6,0.0006657028198242188
L10H21,attn,10,21,0.0011079788208007812,0.6,0.0006647872924804687
L03H15,attn,3,15,0.0011709213256835937,0.55,0.0006440067291259766
L35H15,attn,35,15,0.0009770870208740234,0.65,0.0006351065635681152
L30H22,attn,30,22,0.0011516571044921874,0.55,0.0006334114074707031
L35H13,attn,35,13,0.000970458984375,0.65,0.00063079833984375
L03H11,attn,3,11,0.0011450290679931641,0.55,0.0006297659873962403
L00H19,attn,0,19,0.0010485172271728516,0.6,0.0006291103363037109
L31H18,attn,31,18,0.0008976936340332031,0.7,0.0006283855438232422
L32H24,attn,32,24,0.001244354248046875,0.5,0.0006221771240234375
L25H01,attn,25,1,0.0011214733123779297,0.55,0.0006168103218078614
L03H04,attn,3,4,0.001013803482055664,0.6,0.0006082820892333984
L43H16,attn,43,16,0.0011050701141357422,0.55,0.0006077885627746582
L03H02,attn,3,2,0.0011025428771972655,0.55,0.0006063985824584961
L04H15,attn,4,15,0.0011860847473144532,0.5,0.0005930423736572266
L21H22,attn,21,22,0.0009787559509277343,0.6,0.0005872535705566406
L40H19,attn,40,19,0.0012921333312988282,0.45,0.0005814599990844727
L26H19,attn,26,19,0.0012805461883544922,0.45,0.0005762457847595215
L11H14,attn,11,14,0.0008185386657714843,0.7,0.000572977066040039
L19H07,attn,19,7,0.0014320850372314454,0.4,0.0005728340148925782
L37H21,attn,37,21,0.001039266586303711,0.55,0.0005715966224670411
L34H16,attn,34,16,0.0008146286010742188,0.7,0.0005702400207519531
L35H12,attn,35,12,0.00113677978515625,0.5,0.000568389892578125
L24H11,attn,24,11,0.0007991313934326172,0.7,0.000559391975402832
L31H20,attn,31,20,0.0010016918182373046,0.55,0.0005509305000305176
L09H09,attn,9,9,0.0009972572326660157,0.55,0.0005484914779663087
L21H24,attn,21,24,0.0012128829956054687,0.45,0.0005457973480224609
L20H18,attn,20,18,0.0012027740478515625,0.45,0.0005412483215332032
L00H23,attn,0,23,0.0008249282836914062,0.65,0.0005362033843994141
L44H01,attn,44,1,0.001339864730834961,0.4,0.0005359458923339844
L43H17,attn,43,17,0.0010666847229003906,0.5,0.0005333423614501953
L44H21,attn,44,21,0.0008139133453369141,0.65,0.0005290436744689942
L20H13,attn,20,13,0.0013144493103027343,0.4,0.0005257797241210938
L27H17,attn,27,17,0.0009531021118164062,0.55,0.0005242061614990235
L34H13,attn,34,13,0.000952768325805664,0.55,0.0005240225791931152
L01H06,attn,1,6,0.0011476516723632813,0.45,0.0005164432525634766
L33H21,attn,33,21,0.0007688999176025391,0.65,0.0004997849464416504
L25H19,attn,25,19,0.0007658958435058594,0.65,0.0004978322982788086
L08H14,attn,8,14,0.0008985996246337891,0.55,0.000494229793548584
L40H23,attn,40,23,0.0012329578399658202,0.4,0.0004931831359863281
L16H00,attn,16,0,0.001222991943359375,0.4,0.00048919677734375
L33H09,attn,33,9,0.0009755611419677735,0.5,0.00048778057098388674
L44H06,attn,44,6,0.0007483482360839844,0.65,0.0004864263534545899
L23H14,attn,23,14,0.001210165023803711,0.4,0.0004840660095214844
L15H16,attn,15,16,0.0007439136505126953,0.65,0.0004835438728332519
L20H06,attn,20,6,0.0007431983947753906,0.65,0.0004830789566040039
L16H23,attn,16,23,0.0012048244476318359,0.4,0.00048192977905273435
